initial_position,initial_velocity,mass,time,location
3568,67,839,49,-4913.9000000000015
7129,75,424,37,3195.8999999999996
2976,5,876,7,2770.9
5740,79,171,26,4481.6
297,16,676,92,-39704.600000000006
2188,24,464,64,-16346.400000000001
8517,40,150,75,-16045.500000000004
7647,3,59,97,-38166.100000000006
8111,52,881,23,6714.9
9861,24,300,46,596.5999999999985
9271,36,276,48,-290.60000000000036
7814,37,430,56,-5480.4000000000015
1646,29,65,74,-23040.4
4891,29,233,8,4809.4
3171,88,866,24,2460.6
8776,26,687,19,7501.1
5505,9,221,70,-17875.0
7553,95,236,8,7999.4
1396,88,707,36,-1786.4000000000005
4113,33,67,76,-21681.4
1054,81,816,52,-7983.6
2086,94,866,74,-17790.4
9781,93,230,42,5043.4
3751,68,247,99,-37541.9
3824,62,8,34,267.59999999999945
3036,75,196,66,-13358.400000000001
8770,50,627,20,7810.0
5611,12,779,60,-11309.0
1504,75,632,12,1698.4
1676,24,845,18,520.3999999999999
4975,18,718,78,-23432.600000000002
8675,73,395,35,5227.5
6581,47,738,96,-34065.4
7730,44,329,88,-26343.600000000006
2519,25,116,80,-26841.000000000004
5251,72,54,69,-13109.900000000001
5538,42,217,93,-32936.100000000006
6028,94,324,76,-15130.400000000001
5273,93,511,77,-16618.100000000002
9890,40,134,17,9153.9
8903,50,677,41,2716.0999999999985
1307,89,478,33,-1092.1000000000004
6839,93,116,43,1777.8999999999996
5388,34,964,12,5090.4
7609,8,601,2,7605.4
3751,14,863,86,-31285.4
8352,16,943,91,-30768.9
7703,50,553,38,2527.3999999999996
539,92,191,84,-26307.4
9425,32,615,60,-6295.0
4206,46,430,53,-7120.1
5395,3,703,44,-3959.4000000000015
1853,13,728,16,806.5999999999999
7037,93,217,42,2299.3999999999996
2368,90,720,27,1225.8999999999996
980,64,494,57,-11292.1
823,93,308,63,-12766.100000000002
7117,72,509,45,434.5
8646,46,151,65,-9066.5
5393,57,149,63,-10464.100000000002
8850,24,239,42,1214.3999999999996
2717,64,457,44,-3953.4000000000015
1184,29,166,15,516.5
5533,13,72,69,-16898.9
5442,80,311,73,-14830.100000000002
254,15,332,72,-24067.600000000002
8544,14,529,31,4269.099999999999
7394,33,489,63,-9975.100000000002
1986,66,525,6,2205.6
7358,95,745,19,7394.1
4264,93,246,5,4606.5
5132,39,122,50,-5168.0
3234,21,897,30,-546.0
8574,61,7,77,-15781.100000000002
1706,19,38,69,-20311.9
9756,23,532,9,9566.1
7919,23,182,21,6241.1
5930,60,172,9,6073.1
9359,48,580,41,3090.0999999999985
8678,67,695,43,2498.8999999999996
4888,6,625,18,3408.3999999999996
5385,4,501,85,-29677.5
2712,1,319,51,-9981.900000000001
3905,21,536,73,-20674.100000000002
7755,71,372,60,-5625.0
2759,74,180,36,-927.4000000000005
3940,48,514,67,-14840.100000000002
5479,79,59,50,-2821.0
9615,30,80,95,-31757.5
1397,6,183,45,-8255.5
6055,37,152,97,-36460.100000000006
691,21,350,96,-42451.4
8280,17,569,80,-21720.000000000004
1846,63,587,22,860.3999999999996
7494,81,996,61,-5797.9000000000015
6272,18,259,13,5677.9
7663,80,539,15,7760.5
3759,65,361,57,-8456.1
8075,74,152,53,-1767.1000000000004
7518,17,892,17,6390.9
8108,37,828,2,8162.4
4995,97,106,78,-17250.600000000002
2749,13,894,39,-4196.900000000001
5839,52,416,50,-3811.0
4796,81,461,6,5105.6
7613,70,466,83,-20333.100000000006
2380,3,352,63,-16879.100000000002
8341,92,157,19,8320.1
724,14,836,42,-7331.6
5825,94,510,68,-10440.600000000002
3697,55,561,63,-12286.100000000002
1848,43,439,6,1929.6
2369,50,344,28,-72.60000000000036
7648,49,205,69,-12299.900000000001
1293,39,238,31,-2206.9000000000005
8301,54,740,92,-28204.600000000006
6931,24,260,92,-32334.600000000006
6335,13,11,22,4249.4
1081,37,906,21,-302.9000000000001
38,59,579,50,-9262.0
6712,23,454,59,-8987.900000000001
9514,98,445,92,-22943.600000000006
2520,65,337,12,2594.4
7523,57,126,5,7685.5
1729,11,797,58,-14116.600000000002
6175,7,702,23,3743.8999999999996
3205,5,871,83,-30136.100000000006
5182,54,220,34,1353.5999999999995
374,51,220,66,-17604.4
3081,13,634,28,-396.60000000000036
3938,54,84,48,-4759.6
1058,34,251,27,-1596.1000000000004
8468,11,880,29,4666.099999999999
7851,71,370,44,1488.5999999999985
6082,19,966,28,2772.3999999999996
6875,98,236,55,-2557.500000000002
8251,54,835,15,7958.5
3811,61,814,73,-17848.100000000002
2328,10,436,17,1081.8999999999999
1608,28,153,39,-4752.900000000001
3154,68,518,83,-24958.100000000006
7175,74,674,84,-21183.4
7482,50,121,58,-6101.600000000002
9665,20,255,4,9666.6
7384,83,358,31,5248.099999999999
9210,97,850,19,9284.1
1094,71,793,13,1188.9
9680,13,61,77,-18371.100000000002
849,39,710,24,-1037.4
6086,48,316,7,6181.9
5864,82,722,84,-21822.4
8734,62,69,96,-30472.4
7005,69,394,49,-1378.9000000000015
5376,45,711,92,-31957.600000000006
5872,10,35,6,5755.6
1371,88,272,37,-2081.1000000000004
5918,57,454,57,-6753.1
3312,41,120,88,-31025.600000000006
4178,49,841,28,1708.3999999999996
5553,70,649,40,512.9999999999991
6602,2,389,40,-1158.000000000001
3852,45,604,57,-9503.1
6202,19,708,69,-15815.900000000001
7214,65,326,64,-8696.400000000001
4012,52,589,96,-36154.4
7116,13,262,2,7122.4
2807,24,23,93,-37341.100000000006
5176,14,443,19,3673.1
2214,50,978,2,2294.4
3162,37,200,10,3042.0
7245,35,758,94,-32761.4
1076,9,89,48,-9781.6
9350,89,220,31,7400.099999999999
5264,14,165,16,4233.6
8933,12,466,4,8902.6
5665,65,594,47,-2104.1000000000004
64,80,934,3,259.9
3424,96,575,49,-3636.9000000000015
3136,67,307,12,3234.4
7792,79,907,47,680.8999999999996
196,69,805,33,-2863.1000000000004
6876,39,508,65,-11291.5
7782,54,450,80,-19258.000000000004
7560,46,269,15,7147.5
4797,42,894,86,-27831.4
5749,96,28,10,6219.0
9074,13,752,20,7374.0
5372,62,542,66,-11880.400000000001
3159,93,182,43,-1902.1000000000004
9982,20,524,68,-11315.600000000002
9063,2,471,16,7840.6
9580,48,465,13,9375.9
1110,61,229,26,-616.4000000000001
4761,5,23,43,-4084.1000000000004
1714,24,189,63,-16222.100000000002
7895,66,357,85,-21897.5
4631,96,610,68,-11498.600000000002
7708,56,746,80,-19172.000000000004
742,54,445,53,-10160.1
1246,32,865,49,-8950.900000000001
3331,16,624,53,-9585.1
8427,90,833,27,7284.9
9683,20,348,77,-17829.100000000002
9679,76,273,77,-13521.100000000002
3222,48,21,63,-13202.100000000002
945,30,788,71,-21625.9
1470,43,128,75,-22867.500000000004
3070,88,977,95,-32792.5
8657,63,361,66,-8529.400000000001
9029,50,656,90,-26161.0
2193,92,875,18,2261.3999999999996
6290,12,201,86,-28918.4
188,38,398,66,-18648.4
1144,97,492,75,-19143.500000000004
9132,10,172,78,-19899.600000000002
8866,81,145,7,9192.9
7761,50,356,11,7718.1
671,7,7,88,-36658.600000000006
6834,62,903,89,-26460.9
8446,7,596,70,-15074.0
390,24,555,55,-13112.500000000002
103,41,253,52,-11014.6
32,64,469,93,-36396.100000000006
638,75,204,21,52.09999999999991
3590,38,14,63,-13464.100000000002
8470,49,403,92,-28495.600000000006
5261,84,12,17,5272.9
685,99,178,32,-1164.6000000000004
6009,84,557,52,-2872.6000000000004
3393,36,308,70,-18097.0
1161,37,248,80,-27239.000000000004
4791,20,141,10,4501.0
3010,23,900,94,-38124.4
838,76,999,22,138.39999999999964
5721,27,177,31,1849.0999999999995
3015,65,436,40,-2225.000000000001
7765,64,83,98,-33022.600000000006
7906,34,288,34,3397.5999999999995
5304,12,913,94,-36864.4
683,67,609,4,872.6
993,83,781,38,-2928.6000000000004
3101,57,651,40,-2459.000000000001
5620,14,808,70,-17410.0
9759,98,374,3,10008.9
7062,45,75,40,1021.9999999999991
7264,52,391,79,-19208.9
965,1,421,31,-3712.9000000000005
6529,47,986,73,-16152.100000000002
4608,3,148,76,-23466.4
1491,10,200,11,1008.0999999999999
2065,13,401,38,-4516.6
3546,47,992,74,-19808.4
2657,53,491,17,2141.8999999999996
837,73,226,55,-9970.500000000002
9611,90,48,39,5668.099999999999
3012,20,566,92,-36621.600000000006
656,31,388,56,-12974.400000000001
9836,28,890,72,-13549.600000000002
7559,95,293,24,7016.6
1268,32,645,67,-18584.100000000002
1253,25,274,78,-26608.600000000002
878,18,242,14,169.5999999999999
5384,24,815,80,-24056.000000000004
7200,89,337,42,2294.3999999999996
7066,30,92,56,-6620.4000000000015
9393,74,101,67,-7645.100000000002
9392,81,290,82,-16913.600000000006
8889,36,124,80,-19591.000000000004
1331,63,374,80,-24989.000000000004
3213,6,584,56,-11817.400000000001
8589,8,987,62,-9750.600000000002
1240,34,890,92,-37105.600000000006
716,31,611,34,-3894.4000000000005
5055,83,412,62,-8634.600000000002
6363,90,557,65,-8489.5
7772,42,171,5,7859.5
5653,29,109,29,2373.0999999999995
4647,91,681,18,4697.4
215,32,685,34,-4361.400000000001
243,31,672,24,-1835.4
4122,37,324,87,-29747.100000000006
1999,43,6,77,-23742.100000000002
1295,17,303,39,-5494.900000000001
35,75,754,17,-106.10000000000014
9601,98,728,2,9777.4
6418,81,185,41,1502.0999999999985
4280,12,664,10,3910.0
6828,95,132,64,-7162.4000000000015
6804,52,633,25,5041.5
9875,93,182,80,-14045.000000000004
9934,66,917,45,2981.5
6737,58,340,51,-3049.9000000000015
6488,52,14,83,-22952.100000000006
4306,51,381,93,-33331.100000000006
2782,82,555,28,1236.3999999999996
5279,92,211,24,4664.6
9562,93,602,28,8324.4
861,95,527,2,1031.4
8663,11,528,14,7856.6
4380,14,762,33,-494.10000000000036
9806,59,652,52,-375.60000000000036
280,30,869,78,-27191.600000000002
8039,66,522,59,-5123.9000000000015
8559,56,504,27,6498.9
2659,1,210,19,909.0999999999999
4931,36,77,6,4970.6
5810,66,561,54,-4914.4000000000015
8107,59,472,21,7185.1
5959,11,804,82,-26086.600000000006
4280,24,425,46,-4984.4000000000015
5080,3,72,87,-31747.100000000006
2232,41,687,77,-23663.100000000002
3555,73,124,58,-8694.600000000002
1249,9,553,15,281.5
9715,85,12,5,10017.5
571,71,86,82,-26554.600000000006
1697,84,111,34,-1111.4000000000005
3994,15,964,18,2676.3999999999996
8543,18,417,79,-20615.9
9285,71,316,89,-23208.9
3618,38,627,98,-39717.600000000006
6738,60,52,24,5355.6
2210,9,489,38,-4523.6
6861,50,682,29,4190.099999999999
2636,40,636,95,-37786.5
4943,55,575,60,-9397.0
445,28,766,56,-13353.400000000001
3675,66,427,41,-1855.9000000000015
8363,45,114,1,8403.1
300,13,143,72,-24165.600000000002
4209,59,65,31,1329.0999999999995
5510,12,207,8,5292.4
1364,59,797,56,-10698.400000000001
2487,10,681,97,-42647.100000000006
4824,66,578,9,5021.1
5588,66,251,44,-994.4000000000015
310,18,544,19,-1116.9
1864,90,823,19,1805.1
8172,75,289,4,8393.6
6413,69,842,14,6418.6
1368,5,808,92,-39645.600000000006
9762,35,451,4,9823.6
8487,12,459,5,8424.5
4997,59,398,13,4935.9
7464,43,236,99,-36303.9
4216,65,109,30,1756.0
4837,10,380,46,-5071.4000000000015
6759,43,718,32,3117.3999999999996
5780,49,585,24,4133.6
7902,68,441,81,-18738.9
4217,2,6,86,-31851.4
9890,92,597,18,9958.4
9349,1,727,8,9043.4
1782,57,784,6,1947.6
714,65,686,90,-33126.0
3629,50,652,85,-27523.5
2195,81,371,40,-2405.000000000001
4665,77,611,95,-32242.5
2523,10,266,26,-529.4000000000001
5211,69,126,71,-14590.900000000001
2175,39,100,19,1147.1
8807,68,978,31,6206.099999999999
2438,23,13,12,2008.4
2327,52,457,88,-31042.600000000006
3286,19,948,56,-11016.400000000001
6660,84,221,68,-10285.600000000002
8674,92,540,73,-10722.100000000002
4835,6,856,94,-37897.4
1491,95,939,41,-2850.9000000000015
2451,65,23,90,-31389.0
9318,48,629,56,-3360.4000000000015
7445,98,352,69,-9121.900000000001
7650,47,392,21,6476.1
1459,66,681,91,-33111.9
7651,72,565,77,-15857.100000000002
1348,82,944,47,-5622.1
8104,8,244,23,5695.9
3136,16,723,1,3147.1
4338,16,917,48,-6183.6
2702,25,639,81,-27421.9
5879,18,26,44,-2815.4000000000015
2903,76,331,8,3197.4
712,3,726,96,-44158.4
7125,74,599,70,-11705.0
9454,28,662,59,-5950.9000000000015
9100,15,406,18,7782.4
728,37,523,82,-29185.600000000006
9203,82,922,18,9091.4
7742,82,585,78,-15673.600000000002
7652,98,822,85,-19420.5
3554,65,743,2,3664.4
802,22,289,21,-896.9000000000001
9823,29,631,94,-30747.4
507,2,589,71,-24051.9
3883,31,495,7,3859.9
9790,99,765,21,9708.1
5494,94,396,94,-28966.4
7457,57,42,62,-7844.600000000002
9035,64,656,59,-4245.9000000000015
2317,79,730,89,-29464.9
4303,46,48,22,2943.3999999999996
8636,11,518,60,-8344.0
1673,31,551,74,-22865.4
3643,6,512,15,2630.5
7410,24,713,4,7427.6
3948,10,957,56,-10858.400000000001
7294,79,819,89,-24487.9
6040,47,885,46,-2166.4000000000015
4757,37,900,15,4209.5
4027,99,133,53,-4490.1
863,81,808,46,-5779.4000000000015
5547,86,127,63,-8483.100000000002
9593,31,650,98,-34428.600000000006
250,52,880,69,-19490.9
8787,98,621,91,-22871.9
7436,34,832,76,-18282.4
8915,13,659,65,-10942.5
1776,94,744,68,-14489.600000000002
4247,94,740,76,-16911.4
445,59,278,80,-26195.000000000004
4949,56,403,97,-35723.100000000006
7466,53,194,81,-20389.9
8440,21,171,98,-36561.600000000006
1506,36,59,29,-1570.9000000000005
5770,35,131,17,4948.9
3609,2,242,75,-23803.500000000004
2270,87,747,28,864.3999999999996
1519,1,304,86,-34635.4
816,65,153,48,-7353.6
8534,66,267,30,6104.0
4738,95,139,24,4195.6
8310,71,802,33,5316.9
3453,23,960,79,-25310.9
2022,3,453,3,1986.9
96,40,752,62,-16259.600000000002
4590,66,431,56,-7080.4000000000015
5502,83,744,24,4671.6
8524,38,181,28,5746.4
6657,17,492,91,-32372.9
2604,78,250,24,1653.6
7858,28,416,36,2515.5999999999995
1839,33,483,55,-11168.500000000002
9652,7,150,19,8016.1
442,96,854,53,-8234.1
5621,29,16,99,-39532.9
6023,29,53,38,49.399999999999636
9144,42,927,23,7517.9
9404,70,288,25,8091.5
664,73,36,6,925.6
3636,19,187,83,-28543.100000000006
2984,21,46,13,2428.9
5343,2,745,16,4120.6
7460,1,172,22,5110.4
3720,20,55,81,-26808.9
4959,34,654,98,-38768.600000000006
2291,59,723,14,2156.6
9525,22,119,27,6546.9
2280,70,783,31,-258.90000000000055
1101,29,144,71,-21540.9
5219,28,539,76,-20955.4
7801,38,448,49,-2101.9000000000015
1872,39,243,15,1354.5
2781,12,891,76,-24609.4
2127,11,62,36,-3827.4000000000005
4315,22,988,54,-8785.400000000001
6134,61,927,26,4407.6
2193,32,948,4,2242.6
7322,9,880,92,-33323.600000000006
2098,38,489,5,2165.5
4096,22,126,76,-22534.4
9835,71,875,56,-1555.4000000000015
1808,18,930,99,-44434.9
2335,13,650,81,-28760.9
8077,93,595,46,1986.5999999999985
8650,96,172,43,3717.8999999999996
4946,27,477,78,-22759.600000000002
459,20,691,6,402.6
9326,21,495,22,7416.4
1357,15,427,59,-14814.900000000001
611,30,302,24,-1491.4
529,28,722,40,-6191.000000000001
7719,28,484,73,-16349.100000000002
1891,11,232,29,-1910.9000000000005
5715,27,774,70,-16405.0
9307,6,951,3,9280.9
851,74,324,61,-12867.900000000001
5706,19,855,89,-31415.9
9777,4,665,17,8428.9
7544,48,250,81,-20716.9
3375,33,925,46,-5475.4000000000015
627,93,44,58,-10462.600000000002
2593,98,287,55,-6839.500000000002
1220,31,239,45,-7307.5
4540,88,217,73,-15148.100000000002
3816,45,542,17,3164.8999999999996
6558,3,408,67,-15237.100000000002
4322,78,852,64,-10756.400000000001
1475,37,465,22,-82.60000000000036
1070,88,659,8,1460.4
2511,86,697,43,-2851.1000000000004
1581,37,59,60,-13839.0
6165,59,977,64,-10129.400000000001
2389,74,571,15,2396.5
4961,93,770,61,-7598.9000000000015
8193,32,783,66,-11039.400000000001
7369,30,789,45,-1203.5
7246,62,507,12,7284.4
9493,51,126,19,8693.1
2435,7,783,90,-36625.0
8730,85,331,77,-13777.100000000002
5369,66,959,1,5430.1
6381,64,843,76,-17057.4
5225,14,342,84,-28173.4
4846,16,30,78,-23717.600000000002
4662,44,292,14,4317.6
2923,41,601,78,-23690.600000000002
931,50,985,55,-11141.500000000002
8677,36,182,18,7737.4
1216,17,846,77,-26527.100000000002
2463,93,192,47,-3990.1000000000004
1603,42,407,11,1472.1
4255,42,919,34,18.599999999999454
883,26,691,91,-37327.9
3003,56,824,38,-1944.6000000000004
9774,11,299,22,7644.4
5799,8,746,60,-11361.0
3669,29,190,37,-1966.1000000000004
8902,76,563,44,2759.5999999999985
6787,22,812,3,6808.9
6528,56,900,19,5823.1
2584,30,918,30,-926.0
8624,94,542,29,7229.099999999999
5595,91,367,45,-232.5
6950,92,963,81,-17746.9
1653,40,247,87,-31955.100000000006
3327,43,772,42,-3510.6000000000004
9357,59,344,31,6477.099999999999
3877,15,593,61,-13440.900000000001
1913,5,652,90,-37327.0
181,51,319,32,-3204.6000000000004
3659,17,488,82,-27894.600000000006
906,92,462,66,-14366.400000000001
7957,41,913,42,1035.3999999999996
3272,31,147,33,-1041.1000000000004
7894,32,234,56,-5680.4000000000015
4490,9,792,86,-30976.4
1586,40,134,70,-19624.0
928,90,607,24,265.5999999999999
4838,71,746,28,2984.3999999999996
9644,52,93,92,-27045.600000000006
4364,57,502,16,4021.6
1565,9,978,11,1071.1
5301,42,923,77,-20517.100000000002
1482,52,810,82,-27201.600000000006
4295,84,814,85,-23967.5
1434,68,540,7,1669.9
4003,67,37,74,-17871.4
9066,19,961,73,-15659.100000000002
3099,31,257,20,1758.9999999999998
1243,61,628,2,1345.4
2433,5,387,34,-3061.4000000000005
3295,25,10,4,3316.6
446,4,147,38,-6477.6
3913,48,293,53,-7307.1
9262,63,934,39,4266.099999999999
2233,80,463,52,-6856.6
2962,80,322,75,-18600.500000000004
6149,98,471,35,3576.5
7487,72,525,14,7534.6
7438,38,643,47,-1600.1000000000004
6828,70,914,47,-706.1000000000004
3244,70,374,55,-7728.500000000002
6613,38,77,5,6680.5
4802,83,743,57,-6387.1
4210,12,532,47,-6050.1
8192,32,308,17,7319.9
6730,8,434,44,-2404.4000000000015
8660,23,667,46,-650.4000000000015
4630,3,240,77,-24191.100000000002
5486,30,60,59,-9800.900000000001
2203,31,583,52,-9434.6
3106,79,583,58,-8795.600000000002
6967,14,617,84,-26431.4
490,89,622,93,-33613.100000000006
9530,40,86,61,-6262.9000000000015
4,36,111,18,-935.6000000000001
3406,30,817,57,-10804.1
8029,97,24,71,-9784.900000000001
9231,67,905,94,-27767.4
1638,48,171,7,1733.9
6769,39,1,10,6669.0
8201,11,758,5,8133.5
459,16,130,64,-18587.4
166,80,630,93,-34774.100000000006
6127,39,771,85,-25960.5
7546,99,977,5,7918.5
937,88,8,77,-21339.100000000002
7378,5,130,33,2206.8999999999996
8519,2,819,29,4456.099999999999
2992,6,567,53,-10454.1
3530,10,241,6,3413.6
489,82,49,27,-869.1000000000004
4644,74,306,82,-22235.600000000006
7366,35,207,37,1952.8999999999996
675,91,328,63,-13040.100000000002
6481,16,594,14,5744.6
3962,58,987,61,-10732.900000000001
2458,22,863,8,2320.4
6462,73,781,24,5391.6
8879,66,845,54,-1845.4000000000015
9933,52,945,48,1139.3999999999996
2590,70,229,90,-30800.0
5391,51,95,29,2749.0999999999995
5208,54,403,49,-3910.9000000000015
4013,11,751,77,-24192.100000000002
6329,99,55,32,4479.4
1513,54,70,17,1014.8999999999999
3467,85,364,93,-31008.100000000006
1208,83,50,54,-8598.400000000001
7694,6,745,96,-36888.4
7779,75,616,2,7909.4
9960,88,869,51,1703.0999999999985
5423,83,410,49,-2274.9000000000015
3494,18,615,51,-8332.900000000001
2362,28,687,97,-41026.100000000006
7767,90,481,98,-30472.600000000006
9599,99,374,6,10016.6
1575,38,655,12,1325.4
764,14,599,71,-22942.9
3217,95,245,85,-24110.5
7351,24,179,33,2806.8999999999996
91,31,167,99,-44864.9
8261,11,850,37,1959.8999999999996
9003,97,344,66,-5939.4000000000015
9119,32,860,92,-29410.600000000006
1690,6,612,24,-988.4000000000001
6277,12,368,45,-3105.5
3671,23,990,4,3684.6
9400,70,627,65,-6752.5
7032,44,28,4,7129.6
3517,50,157,38,-1658.6000000000004
3553,83,199,43,-1938.1000000000004
5558,17,598,24,3143.6
5212,80,155,3,5407.9
1545,98,242,4,1858.6
6064,8,694,55,-8318.500000000002
3080,85,461,94,-32226.4
1030,97,589,77,-20553.100000000002
5262,56,494,58,-7973.600000000002
3148,63,330,86,-27674.4
3043,27,625,60,-12977.0
3137,13,619,71,-20640.9
992,52,720,81,-26944.9
621,70,162,59,-12305.900000000001
3121,66,758,86,-27443.4
1528,7,660,27,-1855.1000000000004
9526,33,423,46,675.5999999999985
7105,46,391,78,-19118.600000000002
6704,19,994,17,5610.9
5557,7,157,1,5559.1
9967,44,554,68,-9698.600000000002
3525,83,241,20,3225.0
9834,34,558,50,-716.0
6019,62,123,54,-4921.4000000000015
8648,71,857,27,6992.9
2674,84,531,58,-8937.600000000002
8272,2,3,50,-3878.0
4351,22,842,63,-13711.100000000002
6029,92,810,25,5266.5
4883,96,982,16,5164.6
1519,35,525,86,-31711.4
9890,21,879,56,-4300.4000000000015
5636,42,311,85,-26196.5
1058,18,63,68,-20375.600000000002
1621,16,99,95,-41081.5
2009,33,829,9,1909.1
6729,78,756,70,-11821.0
9062,97,62,33,6926.9
4321,29,292,63,-13300.100000000002
2104,58,848,74,-20436.4
1594,45,873,76,-23288.4
